ano_agricola,dsc_safra_previsao,uf,produto,id_produto,area_plantada_mil_ha,producao_mil_t,produtividade_mil_ha_mil_t
1981/82             ,UNICA          ,MT,ALGODAO EM PLUMA                        ,4586,4.9,1.8,0.4
1981/82             ,UNICA          ,PA,ALGODAO EM PLUMA                        ,4586,10.2,1.8,0.2
1981/82             ,UNICA          ,PB,ALGODAO EM PLUMA                        ,4586,660.0,23.0,0.0
1981/82             ,UNICA          ,PE,ALGODAO EM PLUMA                        ,4586,200.0,6.1,0.0
1981/82             ,UNICA          ,PI,ALGODAO EM PLUMA                        ,4586,200.0,6.2,0.0
1981/82             ,UNICA          ,PR,ALGODAO EM PLUMA                        ,4586,373.0,264.5,0.7
1981/82             ,UNICA          ,RN,ALGODAO EM PLUMA                        ,4586,440.0,17.4,0.0
1981/82             ,UNICA          ,SE,ALGODAO EM PLUMA                        ,4586,37.0,2.0,0.1
1981/82             ,UNICA          ,SP,ALGODAO EM PLUMA                        ,4586,318.0,194.6,0.6
1982/83             ,UNICA          ,AL,ALGODAO EM PLUMA                        ,4586,80.2,4.8,0.1
1982/83             ,UNICA          ,BA,ALGODAO EM PLUMA                        ,4586,62.5,18.6,0.3
1982/83             ,UNICA          ,CE,ALGODAO EM PLUMA                        ,4586,1147.6,20.0,0.0
1982/83             ,UNICA          ,GO,ALGODAO EM PLUMA                        ,4586,37.4,28.0,0.7
1982/83             ,UNICA          ,MA,ALGODAO EM PLUMA                        ,4586,32.0,2.4,0.1
1982/83             ,UNICA          ,MG,ALGODAO EM PLUMA                        ,4586,85.3,38.5,0.5
1982/83             ,UNICA          ,MS,ALGODAO EM PLUMA                        ,4586,43.5,21.5,0.5
1982/83             ,UNICA          ,MT,ALGODAO EM PLUMA                        ,4586,4.0,1.5,0.4
1982/83             ,UNICA          ,PA,ALGODAO EM PLUMA                        ,4586,12.6,2.5,0.2
1982/83             ,UNICA          ,PB,ALGODAO EM PLUMA                        ,4586,560.8,12.1,0.0
